params,values,,,,
field,KW_Merged,,,,
ngrams,1,,,,
method,MCA,,,,
minDegree,6,,,,
clust,1,,,,
k.max,8,,,,
stemming,FALSE,,,,
labelsize,5,,,,
documents,5,,,,
graph,FALSE,,,,
,,,,,
,,,,,
word,Dim1,Dim2,cluster,,
psychology,-0.06,-0.02,1,,
cognitive psychology,-0.2,-0.05,1,,
computer science,0.05,0.12,1,,
neuroscience,-0.24,0.05,1,,
cognition,-0.28,-0.01,1,,
recall,-1.06,0.15,1,,
philosophy,-0.21,0.23,1,,
social psychology,0.04,-0.65,1,,
biology,-1.04,-1.3,1,,
artificial intelligence,0.21,0.05,1,,
forgetting,-0.47,0.87,1,,
paleontology,-1.14,-1.56,1,,
test (biology),-1.14,-1.56,1,,
mathematics,-0.44,-0.23,1,,
cognitive science,0.45,0.59,1,,
free recall,-1.67,0.18,1,,
linguistics,-0.97,0.18,1,,
developmental psychology,0.15,-0.92,1,,
retrieval-induced forgetting,-0.48,1.26,1,,
economics,-1.19,0.07,1,,
epistemology,0.64,0.29,1,,
medicine,-0.98,0.19,1,,
metacognition,0.13,-0.76,1,,
law,0.76,-0.05,1,,
mathematics education,0.53,-0.2,1,,
operating system,0.08,-0.16,1,,
political science,0.76,-0.05,1,,
physics,-0.44,1.31,1,,
recall test,-2.19,0.35,1,,
cued recall,-1.43,-0.19,1,,
motivated forgetting,-0.92,1.48,1,,
statistics,0.2,-0.49,1,,
programming language,-0.01,0.23,1,,
task (project management),-1.94,-0.05,1,,
communication,-0.59,0.11,1,,
management,-2.05,-0.1,1,,
metamemory,-0.04,-0.73,1,,
geometry,-1.27,0.02,1,,
word (group theory),-2.38,0.53,1,,
information retrieval,-0.24,1,1,,
quantum mechanics,-0.85,2.08,1,,
art,0.71,-0.15,1,,
encoding (memory),-0.65,0.67,1,,
perception,-0.06,-1.31,1,,
term (time),-1.03,2.22,1,,
context (archaeology),-1.68,-1.3,1,,
cue-dependent forgetting,-0.88,1.23,1,,
history,0.27,-0.17,1,,
human memory,-0.14,0.12,1,,
interleaving,0.46,-0.62,1,,
presentation (obstetrics),-3.08,1.39,1,,
radiology,-3.08,1.39,1,,
sociology,1.11,0.01,1,,
,,,,,
,,,,,
Documents,dim1,dim2,contrib,TC,Cluster
"harold pashler, 2008, s1025063068",0.24,0.24,0,1874,1
"richard a. schmidt, 1992, s58854535",-0.04,-0.04,0,1544,1
"michael c. anderson, 1994, s4306525036",-0.23,-0.23,0,1407,1
"a richardson-klavehn, 1988, s90670110",0.23,0.23,0,999,1
"steven m. smith, 1978, s114265899",-1.06,-1.06,0.02,713,1
"robert a. bjork, 1989, ",0.15,0.15,0,587,1
"robert a. bjork, 1974, s36783443",-0.79,-0.79,0.03,564,1
"nate kornell, 2008, s58854535",0.13,0.13,0,547,1
"nate kornell, 2007, s138679565",0.11,0.11,0,494,1
"nate kornell, 2009, s18666220",-0.06,-0.06,0,448,1
"elizabeth ligon bjork, 2011, ",0.38,0.38,0,445,1
"michael c. anderson, 2000, s138679565",-0.32,-0.32,0,427,1
"anthony d. wagner, 2001, s103225281",0.13,0.13,0,426,1
"aaron s. benjamin, 1998, s62013203",0.2,0.2,0,402,1
"robert a. bjork, 1970, s17882476",0.07,0.07,0,347,1
"asher koriat, 2004, s62013203",0.03,0.03,0,326,1
"asher koriat, 2005, s18666220",0.07,0.07,0,325,1
"r. edward geiselman, 1983, s62013203",-0.07,-0.07,0,310,1
"daniel druckman, 1992, s2764375719",0.27,0.27,0,285,1
"addison e. woodward, 1973, s17882476",-0.28,-0.28,0,279,1
"nate kornell, 2011, s53787413",-0.44,-0.44,0.01,274,1
"karen pierce, 2011, s3774022",0.23,0.23,0,251,1
"elliot hirshman, 1988, s18666220",0.24,0.24,0,248,1
"monica s. birnbaum, 2012, s114265899",0.18,0.18,0,237,1
"daniel druckman, 1995, s2764375719",0.26,0.26,0,236,1
"john shaw, 1995, s138679565",0.08,0.08,0,215,1
"robert a. bjork, 1988, ",0.3,0.3,0,208,1
"dominic a. simon, 2001, s18666220",-0.1,-0.1,0.01,201,1
"elizabeth ligon bjork, 1996, s75102731",-0.25,-0.25,0,200,1
"michael c. anderson, 1994, ",0.03,0.03,0,199,1
"robert a. bjork, 1999, ",0.2,0.2,0,196,1
"vered halamish, 2011, s18666220",-0.5,-0.5,0.01,182,1
"elizabeth ligon bjork, 1998, ",0.14,0.14,0,178,1
"benjamin c. storm, 2006, s138679565",-0.33,-0.33,0.01,174,1
"nate kornell, 2010, s55618883",0.24,0.24,0,172,1
"lynne m. reder, 1974, s4210168021",0.06,0.06,0,164,1
"robert a. bjork, 1968, s2764680450",-0.72,-0.72,0.02,160,1
"barbara a. spellman, 1992, s58854535",-0.6,-0.6,0.01,160,1
"nate kornell, 2009, s62013203",-0.53,-0.53,0.01,158,1
"robert a. bjork, 2020, s2764634622",0.17,0.17,0,155,1
"carole l. yue, 2012, s114265899",0.04,0.04,0,154,1
"elizabeth j. marsh, 2007, s138679565",-0.08,-0.08,0.01,152,1
"robert a. bjork, 2015, s206630335",0.23,0.23,0,146,1
"william b. whitten, 1977, s17882476",-1.51,-1.51,0.05,142,1
"jeri l. little, 2012, s58854535",-0.26,-0.26,0.01,141,1
"asher koriat, 2006, s18666220",0.18,0.18,0,141,1
"nate kornell, 2008, s47258695",0.18,0.18,0,141,1
"veronica x. yan, 2016, s62013203",-0.02,-0.02,0,135,1
"elizabeth ligon bjork, 1996, ",0.16,0.16,0,134,1
"r. edward geiselman, 1980, s36783443",-0.4,-0.4,0.01,121,1
"veronica x. yan, 2014, s2764634622",0.37,0.37,0,110,1
"daniel r. kimball, 2002, s62013203",-0.69,-0.69,0.02,109,1
"michael c. anderson, 1994, s18666220",-0.05,-0.05,0.01,109,1
"matthew hays, 2012, s18666220",-0.1,-0.1,0,108,1
"bennett l. schwartz, 1997, s114020440",0.23,0.23,0,107,1
"addison e. woodward, 1971, s4210168021",-0.12,-0.12,0,103,1
"benjamin c. storm, 2010, s114265899",-0.69,-0.69,0.01,100,1
"robert a. bjork, 1973, s4210168021",-0.29,-0.29,0,99,1
"sara l. appleton-knapp, 2005, s145429826",0.01,0.01,0,98,1
"douglas s. bell, 2008, s116608325",0.11,0.11,0,96,1
"asher koriat, 2006, s114265899",-0.07,-0.07,0.01,89,1
"carole l. yue, 2013, s61703936",0.1,0.1,0,87,1
"benjamin c. storm, 2008, s18666220",-0.11,-0.11,0,82,1
"patricia a. dewinstanley, 2002, s96205195",0.37,0.37,0,81,1
"nicholas c. soderstrom, 2014, s53787413",-0.37,-0.37,0.01,80,1
"benjamin c. storm, 2007, s59062809",0.05,0.05,0,78,1
"elizabeth ligon bjork, 2003, s18666220",-0.47,-0.47,0.01,76,1
"catherine o. fritz, 2000, s179213746",-0.88,-0.88,0.02,72,1
"matthew hays, 2010, s138679565",0.11,0.11,0,66,1
"benjamin c. storm, 2012, s2765022084",-0.08,-0.08,0,65,1
"a richardson-klavehn, 1994, s114265899",0.06,0.06,0,64,1
"robert a. bjork, 2005, s4306523994",0.27,0.27,0,62,1
"robert a. bjork, 1979, s168863630",0,0,0,61,1
"james g. greeno, 1973, s90670110",0.2,0.2,0,53,1
"veronica x. yan, 2017, s79587319",0.36,0.36,0,52,1
"walter reitman, 1973, s17882476",0.12,0.12,0,52,1
"john a. swets, 1990, s58854535",0.27,0.27,0,50,1
"allison d. cantor, 2014, s114265899",0.13,0.13,0,48,1
"aaron s. benjamin, 2000, s18666220",-0.07,-0.07,0,46,1
"robert a. bjork, 1978, s4210236024",0.2,0.2,0,45,1
"nicholas c. soderstrom, 2015, s58854535",-0.07,-0.07,0.01,44,1
"benjamin c. storm, 2005, s53787413",0.01,0.01,0,43,1
"ariel j. lang, 1999, s82332189",0.17,0.17,0,40,1
"elizabeth j. marsh, 2012, s47258695",-0.06,-0.06,0,39,1
"sharon m. noh, 2016, s88198767",0.14,0.14,0,39,1
"robert a. bjork, 2018, s27228949",0.18,0.18,0,38,1
"jason r. finley, 2011, s53787413",0.08,0.08,0,37,1
"veronica x. yan, 2014, s114265899",0.17,0.17,0,36,1
"dominic a. simon, 2002, s79587319",0.09,0.09,0,36,1
"robert a. bjork, 1973, s80146597",0.19,0.19,0,31,1
"david g. elmes, 1975, s17882476",-1.16,-1.16,0.03,30,1
"haley a. vlach, 2014, s201005279",-0.14,-0.14,0,30,1
"robert h. jongeward, 1975, s114265899",-0.52,-0.52,0.01,26,1
"asher koriat, 2006, s62013203",0.17,0.17,0,26,1
"benjamin c. storm, 2013, s18666220",-0.15,-0.15,0,24,1
"wendy s. francis, 2010, s47258695",-0.07,-0.07,0,24,1
"faria sana, 2018, s2764634622",-0.07,-0.07,0.01,23,1
"robert a. bjork, 1968, s126294776",0.28,0.28,0,22,1
"steven c. pan, 2021, s187318745",0.17,0.17,0,21,1
"michael s. cohen, 2013, s18666220",-0.35,-0.35,0.01,20,1
"robert a. bjork, 2016, s13069421",0.18,0.18,0,18,1
"katharina kircanski, 2008, s186589312",0.05,0.05,0,18,1
"katharina kircanski, 2015, s2764897075",0.02,0.02,0,17,1
"stephen j. ceci, 2000, s58854535",0.34,0.34,0,16,1
"barbara a. spellman, 2008, ",0.15,0.15,0,15,1
"sharon m. noh, 2014, s58854535",0.14,0.14,0,15,1
"saskia giebl, 2015, s59062809",-0.36,-0.36,0,13,1
"faria sana, 2020, s79587319",0.27,0.27,0,12,1
"courtney m. clark, 2014, ",0.19,0.19,0,12,1
"erin m. sparck, 2016, s3035657644",-0.45,-0.45,0.01,11,1
"daniel r. kimball, 2008, s138679565",-0.3,-0.3,0,11,1
"veronica x. yan, 2016, ",0.17,0.17,0,10,1
"robert a. bjork, 1992, s2764631557",0.12,0.12,0,10,1
"megan n. imundo, 2020, s59062809",-0.74,-0.74,0.01,9,1
"saskia giebl, 2020, s2764461159",-0.62,-0.62,0.01,9,1
"jordan andrew brabec, 2020, s187318745",-0.35,-0.35,0.01,9,1
"robert a. bjork, 2014, ",0.31,0.31,0,9,1
"dorothy r. buchli, 2015, s59062809",-0.07,-0.07,0,9,1
"janet metcalfe, 2024, s96095673",-0.02,-0.02,0,8,1
"robert a. bjork, 2000, s80146597",0.38,0.38,0,8,1
"lindsey e. richland, 2004, s4306523994",0.18,0.18,0,8,1
"oliver kliegl, 2019, s9692511",-0.07,-0.07,0,7,1
"robert a. bjork, 1996, s59628311",0.02,0.02,0,7,1
"r. d. fulk, 2008, ",0.31,0.31,0,6,1
"benjamin c. storm, 2016, s114265899",0.12,0.12,0,6,1
"dillon h. murphy, 2022, s59062809",-0.9,-0.9,0.02,5,1
"robert a. bjork, 2001, s2764590216",0.27,0.27,0,5,1
"alan richardson‐klavehn, 1988, s2764736474",0.17,0.17,0,5,1
"john c. jahnke, 1985, s114265899",-0.05,-0.05,0,5,1
"saskia giebl, 2022, s2764634622",0.18,0.18,0,4,1
"a.m. chen, 2024, s91386000",0.21,0.21,0,3,1
"courtney m. clark, 2021, s108832698",-0.22,-0.22,0,3,1
"john dunlosky, 2013, ",0.16,0.16,0,3,1
"robert a. bjork, 1991, s2764590216",0.26,0.26,0,2,1
"aaron s. benjamin, 1997, s59628311",0.23,0.23,0,1,1
"riley sandberg, 2020, ",0.2,0.2,0,1,1
"harold pashler, 2015, s206630335",0.42,0.42,0,0,1
"matthew hays, 2012, ",-0.11,-0.11,0,0,1
"harold pashler, 2015, ",0.37,0.37,0,0,1
"janet metcalfe, 1991, ",0.34,0.34,0,0,1
"matthew hays, 1994, ",0.26,0.26,0,0,1
"jingqi yu, 2017, s78735424",0.21,0.21,0,0,1
"robert a. bjork, 2022, s4210190338",0.26,0.26,0,0,1
"robert a. bjork, 1996, s35223124",0.23,0.23,0,0,1
"robert a. bjork, 2000, s2764590216",0.24,0.24,0,0,1
"wayne lee, 1968, s4394736638",0.23,0.23,0,0,1
"nate kornell, 2025, s4210194710",-0.08,-0.08,0,0,1
"michael c. anderson, 1990, s2764736474",0.13,0.13,0,0,1
"sharon m. noh, 2024, s2764634622",0.14,0.14,0,0,1
"robert a. bjork, 2000, s35223124",0.17,0.17,0,0,1
"michael c. anderson, 1994, s18666220-a",-0.06,-0.06,0.01,,1
"robert a. bjork, 2000, s80146597-a",0.41,0.41,0,,1
"robert a. bjork, 2022, s4210190338-a-b-c-d",0.32,0.32,0,,1
"robert a. bjork, 1970, s17882476-a",-0.25,-0.25,0,,1
"robert a. bjork, 2000, s2764590216-a-b",0.24,0.24,0,,1
"r. edward geiselman, 1983, s62013203-a",0.11,0.11,0,,1
"veronica x. yan, 2014, s2764634622-a",0.21,0.21,0,,1
"aaron s. benjamin, 2000, s18666220-a",0.21,0.21,0,,1
"elliot hirshman, 1988, s18666220-a",0.18,0.18,0,,1
"robert a. bjork, 2014, -a",0.16,0.16,0,,1
"robert a. bjork, 1978, s4210236024-a",0.17,0.17,0,,1
"asher koriat, 2006, s18666220-a",0.1,0.1,0,,1
"daniel r. kimball, 2002, s62013203-a",0.14,0.14,0,,1
"dominic a. simon, 2001, s18666220-a",0.13,0.13,0,,1
"dominic a. simon, 2002, s79587319-a",0.14,0.14,0,,1
"robert a. bjork, 2022, s4210190338-a-b-c",0.06,0.06,0,,1
"robert a. bjork, 2022, s4210190338-a",0.06,0.06,0,,1
